communitypharm_id;state_id;lga_id;pharmacy;address;phone;phone1;email;pin
210;25;518;Healthserveplus pharmacy;;08023226539;;Healthserve01@gmail.com;la0112
211;25;507;Cifax Pharmacy;;08023087506;;zestcare01@gmail.com;la0113
212;25;518;Julie Harrison;;08038277879;;ada.okorie@gmail.com;la0114
213;25;518;Overtcare ltd;;08099456091;;wealthmix@ yahoo.com;la0115
214;25;524;Ajekins Pharmacy;;08035018100;;ajekins13@gmail.com;la0116
215;25;520;Matan Pharmacy;;07033752689;;matanpharmacy@yahoo.com;la0117
216;25;518;Healthspring Pharmacy;;08033223654;;healthspringsltd@yahoo.com;la0118
217;25;525;Karadin Pharmacy;;08036513106;;zoba226@yahoo.com;la0119
218;25;516;Briston Pharmacy;;08125847360;;bikkyademiluwa@yahoo.com;la0120
219;25;509;HealthPlus (Festac);;07036339401;;festivalmall@healthplus.com.ng;la0121
